row,aggressors_activations,reads,median_of_time,bitflips
14231,4,1,11722,0
14232,4,1,26007,0
14233,4,1,46809,0
14234,4,1,26195,0
14235,4,1,38981,0
14236,4,1,40192,0
14237,4,1,46857,0
14238,4,1,16918,0
14239,4,1,17516,0
14240,4,1,32391,0
14241,4,1,46798,0
14242,4,1,14505,0
14243,4,1,46819,0
14244,4,1,39067,0
14245,4,1,14672,0
14246,4,1,39737,0
14247,4,1,31240,0
14248,4,1,32363,0
14249,4,1,43369,0
14250,4,1,32303,0
14251,4,1,31244,0
14252,4,1,37979,0
14253,4,1,46863,0
14254,4,1,38846,0
14255,4,1,21667,0
14256,4,1,29860,0
14257,4,1,39152,0
14258,4,1,11124,0
14259,4,1,46834,0
14260,4,1,39133,0
14261,4,1,46870,0
14262,4,1,39148,0
14263,4,1,46868,0
14264,4,1,45331,0
14265,4,1,46870,0
14266,4,1,44613,0
14267,4,1,46870,0
14268,4,1,45091,0
14269,4,1,46875,0
14270,4,1,39806,0
14271,4,1,39011,0
14272,4,1,40215,0
14273,4,1,46841,0
14274,4,1,40097,0
14275,4,1,39006,0
14276,4,1,40129,0
14277,4,1,45779,0
14278,4,1,46806,0
14279,4,1,14333,0
14280,4,1,10723,0
14281,4,1,46820,0
14282,4,1,41575,0
14283,4,1,21450,0
14284,4,1,11525,0
14285,4,1,46847,0
14286,4,1,44843,0
14287,4,1,37053,0
14288,4,1,32746,0
14289,4,1,46806,0
14290,4,1,10043,0
14291,4,1,10342,0
14292,4,1,17071,0
14293,4,1,24927,0
14294,4,1,46740,0
14295,4,1,18099,0
14296,4,1,21862,0
14297,4,1,24378,0
14298,4,1,10325,0
14299,4,1,10235,0
14300,4,1,29277,0
14301,4,1,46865,0
14302,4,1,16789,0
14303,4,1,22251,0
14304,4,1,13809,0
14305,4,1,46776,0
14306,4,1,21506,0
14307,4,1,16488,0
14308,4,1,39146,0
14309,4,1,19456,0
14310,4,1,35908,0
14311,4,1,11274,0
14312,4,1,10589,0
14313,4,1,37942,0
14314,4,1,16536,0
14315,4,1,20754,0
14316,4,1,19610,0
14317,4,1,44936,0
14318,4,1,11929,0
14319,4,1,31311,0
14320,4,1,38007,0
14321,4,1,46825,0
14322,4,1,16208,0
14323,4,1,10810,0
14324,4,1,17126,0
14325,4,1,17926,0
14326,4,1,46811,0
14327,4,1,46795,0
14328,4,1,46778,0
14329,4,1,39138,0
14330,4,1,38988,0
14331,4,1,46769,0
14332,4,1,46811,0
14333,4,1,46922,0
14334,4,1,11323,0
14335,4,1,14908,0
14336,4,1,38981,0
14337,4,1,39677,0
14338,4,1,39231,0
14339,4,1,24425,0
14340,4,1,38930,0
14341,4,1,15615,0
14342,4,1,39145,0
14343,4,1,18997,0
14344,4,1,18254,0
14345,4,1,39127,0
14346,4,1,16435,0
14347,4,1,37158,0
14348,4,1,39765,0
14349,4,1,46882,0
14350,4,1,23752,0
14351,4,1,18017,0
14352,4,1,16231,0
14353,4,1,46858,0
14354,4,1,17839,0
14355,4,1,33647,0
14356,4,1,34069,0
14357,4,1,29797,0
14358,4,1,45272,0
14359,4,1,14540,0
14360,4,1,39196,0
14361,4,1,46543,0
14362,4,1,45626,0
14363,4,1,38870,0
14364,4,1,39428,0
14365,4,1,46676,0
14366,4,1,45825,0
14367,4,1,31867,0
14368,4,1,11440,0
14369,4,1,46651,0
14370,4,1,26704,0
14371,4,1,46628,0
14372,4,1,45979,0
14373,4,1,35980,0
14374,4,1,31014,0
14375,4,1,29177,0
14376,4,1,23982,0
14377,4,1,39911,0
14378,4,1,24403,0
14379,4,1,25612,0
14380,4,1,23722,0
14381,4,1,46522,0
14382,4,1,23973,0
14383,4,1,17602,0
14384,4,1,39133,0
14385,4,1,46527,0
14386,4,1,39288,0
14387,4,1,23895,0
14388,4,1,15475,0
14389,4,1,38890,0
14390,4,1,46421,0
14391,4,1,43770,0
14392,4,1,46425,0
14393,4,1,31185,0
14394,4,1,38744,0
14395,4,1,45363,0
14396,4,1,46419,0
14397,4,1,46488,0
14398,4,1,31356,0
14399,4,1,38054,0
14400,4,1,34236,0
14401,4,1,46354,0
14402,4,1,23480,0
14403,4,1,46491,0
14404,4,1,40141,0
14405,4,1,44780,0
14406,4,1,46476,0
14407,4,1,38704,0
14408,4,1,39555,0
14409,4,1,46498,0
14410,4,1,39635,0
14411,4,1,38738,0
14412,4,1,38894,0
14413,4,1,46469,0
14414,4,1,40359,0
14415,4,1,37824,0
14416,4,1,39852,0
14417,4,1,46400,0
14418,4,1,39288,0
14419,4,1,40541,0
14420,4,1,39048,0
14421,4,1,46085,0
14422,4,1,46422,0
14423,4,1,38685,0
14424,4,1,39821,0
14425,4,1,46447,0
14426,4,1,46228,0
14427,4,1,39181,0
14428,4,1,40577,0
14429,4,1,46441,0
14430,4,1,46368,0
14431,4,1,38690,0
14432,4,1,40422,0
14433,4,1,46477,0
14434,4,1,45939,0
14435,4,1,46346,0
14436,4,1,46423,0
14437,4,1,46265,0
14438,4,1,46384,0
14439,4,1,39003,0
14440,4,1,40031,0
14441,4,1,46454,0
14442,4,1,45412,0
14443,4,1,39762,0
14444,4,1,39924,0
14445,4,1,46556,0
14446,4,1,45516,0
14447,4,1,38845,0
14448,4,1,40245,0
14449,4,1,46518,0
14450,4,1,45704,0
14451,4,1,45387,0
14452,4,1,39238,0
14453,4,1,46458,0
14454,4,1,46459,0
14455,4,1,46387,0
14456,4,1,46457,0
14457,4,1,46367,0
14458,4,1,46413,0
14459,4,1,43266,0
14460,4,1,46338,0
14461,4,1,46403,0
14462,4,1,15993,0
14463,4,1,18104,0
14464,4,1,15435,0
14465,4,1,26196,0
14466,4,1,16288,0
14467,4,1,9991,0
14468,4,1,46379,0
14469,4,1,14645,0
14470,4,1,21905,0
14471,4,1,10275,0
14472,4,1,9045,0
14473,4,1,11602,0
14474,4,1,8573,0
14475,4,1,8917,0
14476,4,1,8508,0
14477,4,1,12486,0
14478,4,1,8294,0
14479,4,1,8284,0
14480,4,1,8093,0
14481,4,1,12740,0
14482,4,1,8840,0
14483,4,1,9163,0
14484,4,1,8545,0
14485,4,1,8475,0
14486,4,1,17206,0
14487,4,1,9408,0
14488,4,1,8650,0
14489,4,1,18054,0
14490,4,1,8633,0
14491,4,1,9096,0
14492,4,1,9066,0
14493,4,1,8782,0
14494,4,1,8579,0
14495,4,1,8445,0
14496,4,1,8667,0
14497,4,1,8889,0
14498,4,1,8645,0
14499,4,1,8884,0
14000,4,2,10117,0
14001,4,2,8646,0
14002,4,2,23103,0
14003,4,2,8810,0
14004,4,2,8567,0
14005,4,2,9203,0
14006,4,2,9077,0
14007,4,2,9837,0
14008,4,2,8983,0
14009,4,2,23170,0
14010,4,2,14303,0
14011,4,2,8260,0
14012,4,2,8223,0
14013,4,2,9229,0
14014,4,2,9094,0
14015,4,2,9280,0
14016,4,2,9315,0
14017,4,2,8658,0
14018,4,2,8718,0
14019,4,2,17309,0
14020,4,2,10349,0
14021,4,2,9411,0
14022,4,2,9225,0
14023,4,2,9494,0
14024,4,2,9986,0
14025,4,2,9662,0
14026,4,2,8687,0
14027,4,2,9016,0
14028,4,2,9454,0
